mapped_rxn,source,,
[CH3:1][O:2][CH2:3][CH2:4][O:5][CH2:6][O:7][c:8]1[cH:9][cH:10][c:11]([CH:12]=[CH:13][CH:14]=[CH:15][C:16](=[O:17])[NH:18][CH2:19][CH2:20][N:21]2[CH2:22][CH2:23][CH:24]([O:27][CH:28]([c:29]3[cH:30][cH:31][cH:32][cH:33][cH:34]3)[c:35]3[cH:36][cH:37][cH:38][cH:39][cH:40]3)[CH2:25][CH2:26]2)[cH:41][c:42]1[O:43][CH3:44]>>[OH:7][c:8]1[cH:9][cH:10][c:11]([CH:12]=[CH:13][CH:14]=[CH:15][C:16](=[O:17])[NH:18][CH2:19][CH2:20][N:21]2[CH2:22][CH2:23][CH:24]([O:27][CH:28]([c:29]3[cH:30][cH:31][cH:32][cH:33][cH:34]3)[c:35]3[cH:36][cH:37][cH:38][cH:39][cH:40]3)[CH2:25][CH2:26]2)[cH:41][c:42]1[O:43][CH3:44],patent,,
[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH:9]=[CH:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[OH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH:9]=[CH:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,patent,,
[CH3:2][C:3]([CH3:4])([CH3:5])[O:6][C:7](=[O:8])[N:9]1[CH:10]([CH2:11][CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][O:17][CH2:18]2)[CH2:19][O:20][C:21]1([CH3:22])[CH3:23].[OH2:1]>>[CH3:2][C:3]([CH3:4])([CH3:5])[O:6][C:7](=[O:8])[NH:9][CH:10]([CH2:11][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][O:17][CH2:18]1)[CH2:19][OH:20],patent,,
[CH2:1]1[CH2:2][NH:3][O:4][CH2:5]1.[CH3:6][CH:7]([O:8][c:9]1[cH:10][cH:11][c:12]([O:13][c:14]2[cH:15][cH:16][c:17]([C:20]([F:21])([F:22])[F:23])[cH:18][cH:19]2)[cH:24][cH:25]1)[C:26]([Cl:27])=[O:28]>>[CH2:1]1[CH2:2][N:3]([C:26]([CH:7]([CH3:6])[O:8][c:9]2[cH:10][cH:11][c:12]([O:13][c:14]3[cH:15][cH:16][c:17]([C:20]([F:21])([F:22])[F:23])[cH:18][cH:19]3)[cH:24][cH:25]2)=[O:28])[O:4][CH2:5]1,patent,,
[CH3:14][NH:15][CH3:16].[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([F:8])[cH:9][cH:10][c:11]1[C:12]#[N:13]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([N:15]([CH3:14])[CH3:16])[cH:9][cH:10][c:11]1[C:12]#[N:13],patent,,
[CH3:1][CH2:2][CH2:3][c:4]1[c:5]([OH:6])[cH:7][cH:8][c:9]([C:10]([CH3:11])=[O:12])[c:13]1[OH:14].[OH:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][c:21]([Br:22])[n:23]1>>[CH3:1][CH2:2][CH2:3][c:4]1[c:5]([O:6][CH2:16][c:17]2[cH:18][cH:19][cH:20][c:21]([Br:22])[n:23]2)[cH:7][cH:8][c:9]([C:10]([CH3:11])=[O:12])[c:13]1[OH:14],patent,,
[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][c:7]2[c:8]([c:10](-[c:17]3[cH:18][cH:19][c:20]([Br:21])[cH:22][cH:23]3)[n:11][n:12]2[CH2:13][CH:14]2[CH2:15][O:16]2)[CH2:9]1.[CH3:24][c:25]1[cH:26][cH:27][c:28]([Cl:29])[cH:30][c:31]1[N:32]1[CH2:33][CH2:34][NH:35][CH2:36][CH2:37]1>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][c:7]2[c:8]([c:10](-[c:17]3[cH:18][cH:19][c:20]([Br:21])[cH:22][cH:23]3)[n:11][n:12]2[CH2:13][CH:14]([CH2:15][N:35]2[CH2:34][CH2:33][N:32]([c:31]3[c:25]([CH3:24])[cH:26][cH:27][c:28]([Cl:29])[cH:30]3)[CH2:37][CH2:36]2)[OH:16])[CH2:9]1,patent,,
[NH2:1][CH:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[CH2:9][O:10][c:11]2[cH:12][cH:13][c:14]([C:17]([OH:18])=[O:19])[cH:15][c:16]21.[OH:20][CH:21]=[O:22]>>[NH:1]([CH:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[CH2:9][O:10][c:11]2[cH:12][cH:13][c:14]([C:17]([OH:18])=[O:19])[cH:15][c:16]21)[CH:21]=[O:22],patent,,
[Cl:5][c:6]1[n:7][c:8]([Cl:9])[c:10]2[s:11][cH:12][c:13]([Br:14])[c:15]2[n:16]1.[NH2:1][CH2:2][CH:3]=[CH2:4]>>[NH:1]([CH2:2][CH:3]=[CH2:4])[c:8]1[n:7][c:6]([Cl:5])[n:16][c:15]2[c:10]1[s:11][cH:12][c:13]2[Br:14],patent,,
[CH2:1]([CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[N:9]1[CH2:10][CH2:11][CH:12]([NH:15][c:16]2[nH:17][c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]3[n:24]2)[CH2:13][CH2:14]1.[CH3:25][CH:26]([Cl:27])[c:28]1[cH:29][cH:30][c:31]([F:32])[cH:33][cH:34]1>>[CH2:1]([CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[N:9]1[CH2:10][CH2:11][CH:12]([NH:15][c:16]2[n:17][c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]3[n:24]2[CH:26]([CH3:25])[c:28]2[cH:29][cH:30][c:31]([F:32])[cH:33][cH:34]2)[CH2:13][CH2:14]1,patent,,
[CH3:10][c:11]1[cH:12][c:13]2[c:14]([F:15])[cH:16][cH:17][c:18]([C:19]#[N:20])[c:21]2[o:22]1.[OH:1][CH2:2][CH2:3][CH:4]1[CH2:5][CH2:6][NH:7][CH2:8][CH2:9]1>>[OH:1][CH2:2][CH2:3][CH:4]1[CH2:5][CH2:6][N:7]([c:14]2[c:13]3[cH:12][c:11]([CH3:10])[o:22][c:21]3[c:18]([C:19]#[N:20])[cH:17][cH:16]2)[CH2:8][CH2:9]1,patent,,
[Br:1][c:2]1[cH:3][cH:4][c:5]([C:7]#[N:8])[s:6]1.[NH2:9][c:10]1[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]1[Cl:17]>>[Br:1][c:2]1[cH:3][cH:4][c:5]([C:7](=[NH:8])[NH:9][c:10]2[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]2[Cl:17])[s:6]1,patent,,
[CH3:5][C:6]([CH3:7])([CH3:8])[CH2:9][c:10]1[n:11][c:12]2[cH:13][c:14]([S:23](=[O:24])(=[O:25])[C:26]([CH3:27])([CH3:28])[C:29]([Cl:30])=[O:31])[cH:15][cH:16][c:17]2[n:18]1[CH2:19][CH:20]1[CH2:21][CH2:22]1.[NH2:1][CH2:2][CH2:3][OH:4]>>[NH:1]([CH2:2][CH2:3][OH:4])[C:29]([C:26]([S:23]([c:14]1[cH:13][c:12]2[n:11][c:10]([CH2:9][C:6]([CH3:5])([CH3:7])[CH3:8])[n:18]([CH2:19][CH:20]3[CH2:21][CH2:22]3)[c:17]2[cH:16][cH:15]1)(=[O:24])=[O:25])([CH3:27])[CH3:28])=[O:31],patent,,
[CH3:11][O:12][c:13]1[cH:14][cH:15][c:16]([C:17](=[O:18])[NH:19][c:20]2[c:21]([Cl:22])[cH:23][n:24][cH:25][c:26]2[Cl:27])[c:28]2[c:36]1[O:35][CH2:34][CH:29]2[CH2:30][C:31]([OH:32])=[O:33].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH2:8])[cH:9][cH:10]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][C:31]([CH2:30][CH:29]2[c:28]3[c:16]([C:17](=[O:18])[NH:19][c:20]4[c:21]([Cl:22])[cH:23][n:24][cH:25][c:26]4[Cl:27])[cH:15][cH:14][c:13]([O:12][CH3:11])[c:36]3[O:35][CH2:34]2)=[O:33])[cH:9][cH:10]1,patent,,
[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[NH2:8].[O-:9][N+:10](=[O:11])[c:12]1[cH:13][n:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[c:21]1[Cl:22]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[NH:8][c:21]1[c:12]([N+:10]([O-:9])=[O:11])[cH:13][n:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]21,patent,,
[CH3:28][CH2:29][N:30]([CH2:31][CH3:32])[CH2:33][CH2:34][CH2:35][Cl:36].[OH:1][c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[c:11]2[c:12]([CH2:13][c:14]3[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]3)[o:21][c:22]3[cH:23][cH:24][cH:25][cH:26][c:27]23)[cH:6][cH:7]1>>[O:1]([c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[c:11]2[c:12]([CH2:13][c:14]3[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]3)[o:21][c:22]3[cH:23][cH:24][cH:25][cH:26][c:27]23)[cH:6][cH:7]1)[CH2:35][CH2:34][CH2:33][N:30]([CH2:29][CH3:28])[CH2:31][CH3:32],patent,,
[CH3:1][n:2]1[cH:3][cH:4][c:5]2[c:6]([OH:7])[cH:8][c:9]([CH2:10][c:11]3[cH:12][n:13][c:14]([NH2:15])[n:16][c:17]3[NH2:18])[cH:19][c:20]12.[CH3:21][CH:22]([CH3:23])[CH2:24][S:25]([Cl:26])(=[O:27])=[O:28]>>[CH3:1][n:2]1[cH:3][cH:4][c:5]2[c:6]([O:7][S:25]([CH2:24][CH:22]([CH3:21])[CH3:23])(=[O:27])=[O:28])[cH:8][c:9]([CH2:10][c:11]3[cH:12][n:13][c:14]([NH2:15])[n:16][c:17]3[NH2:18])[cH:19][c:20]12,patent,,
[CH3:25][O:26][c:27]1[cH:28][c:29]([Cl:30])[cH:31][cH:32][c:33]1[C:34]([Cl:35])=[O:36].[NH2:1][c:2]1[cH:3][cH:4][c:5]([C:8](=[O:9])[N:10]2[CH2:11][c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]32)[cH:6][cH:7]1>>[NH:1]([c:2]1[cH:3][cH:4][c:5]([C:8](=[O:9])[N:10]2[CH2:11][c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]32)[cH:6][cH:7]1)[C:34]([c:33]1[c:27]([O:26][CH3:25])[cH:28][c:29]([Cl:30])[cH:31][cH:32]1)=[O:36],patent,,
[CH3:1][O:2][CH2:3][O:4][CH2:5][CH2:6][CH2:7][Br:8].[cH:9]1[cH:10][cH:11][c:12]([P:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[cH:13][cH:14]1>>[CH3:1][O:2][CH2:3][O:4][CH2:5][CH2:6][CH2:7][P+:15]([c:12]1[cH:11][cH:10][cH:9][cH:14][cH:13]1)([c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1,patent,,
[CH3:1][NH2:2].[CH3:3][S:4][c:5]1[n:6][cH:7][c:8]([Cl:9])[c:10]([Cl:11])[n:12]1>>[CH3:1][NH:2][c:10]1[c:8]([Cl:9])[cH:7][n:6][c:5]([S:4][CH3:3])[n:12]1,patent,,
[CH3:5][CH2:6][O:7][C:8](=[O:9])[NH:10][NH2:11].[Cl:1][C:2]([Cl:3])=[O:4]>>[Cl:1][C:2](=[O:4])[NH:11][NH:10][C:8]([O:7][CH2:6][CH3:5])=[O:9],patent,,
[CH3:15][n:16]1[c:17]([C:35]([F:36])([F:37])[F:38])[cH:18][c:19](=[O:20])[n:21](-[c:22]2[cH:23][c:24]([F:25])[c:26]([N+:30]([O-:31])=[O:32])[cH:27][c:28]2[F:29])[c:33]1=[O:34].[CH3:1][O:2][C:3](=[O:4])[CH:5]([CH3:6])[O:7][c:8]1[n:9][cH:10][cH:11][cH:12][c:13]1[OH:14]>>[CH3:1][O:2][C:3](=[O:4])[CH:5]([CH3:6])[O:7][c:8]1[n:9][cH:10][cH:11][cH:12][c:13]1[O:14][c:24]1[cH:23][c:22](-[n:21]2[c:19](=[O:20])[cH:18][c:17]([C:35]([F:36])([F:37])[F:38])[n:16]([CH3:15])[c:33]2=[O:34])[c:28]([F:29])[cH:27][c:26]1[N+:30]([O-:31])=[O:32],patent,,
[Br:39][CH2:40][CH2:41][CH2:42][O:43][c:44]1[cH:45][cH:46][cH:47][cH:48][c:49]1[C:50]#[N:51].[CH3:1][O:2][CH2:3][CH2:4][CH2:5][N:6]1[C:7](=[O:8])[CH2:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([CH2:15][O:16][CH:17]3[CH2:18][N:19]([C:30](=[O:31])[O:32][C:33]([CH3:34])([CH3:35])[CH3:36])[CH2:20][CH2:21][CH:22]3[c:23]3[cH:24][cH:25][c:26]([OH:27])[cH:28][cH:29]3)[cH:37][c:38]21>>[CH3:1][O:2][CH2:3][CH2:4][CH2:5][N:6]1[C:7](=[O:8])[CH2:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([CH2:15][O:16][CH:17]3[CH2:18][N:19]([C:30](=[O:31])[O:32][C:33]([CH3:34])([CH3:35])[CH3:36])[CH2:20][CH2:21][CH:22]3[c:23]3[cH:24][cH:25][c:26]([O:27][CH2:40][CH2:41][CH2:42][O:43][c:44]4[cH:45][cH:46][cH:47][cH:48][c:49]4[C:50]#[N:51])[cH:28][cH:29]3)[cH:37][c:38]21,patent,,
[CH3:10][S:11][CH2:12][Cl:13].[OH:1][c:2]1[cH:3][cH:4][c:5]([Cl:6])[cH:7][c:8]1[Cl:9]>>[O:1]([c:2]1[cH:3][cH:4][c:5]([Cl:6])[cH:7][c:8]1[Cl:9])[CH2:12][S:11][CH3:10],patent,,
[CH3:1][C:2]([CH3:3])=[CH2:4].[OH:5][C:6](=[O:7])[CH:8]1[CH:9]=[CH:10][CH2:11][CH:12]=[CH:13]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]1[CH:9]=[CH:10][CH2:11][CH:12]=[CH:13]1,patent,,
[F:1][c:2]1[cH:3][cH:4][c:5]2[n:6]([CH2:7][CH:8]3[CH2:9][CH2:10][CH:11]4[CH2:12][NH:13][CH2:14][CH2:15][N:16]4[CH2:17]3)[cH:18][cH:19][c:20]2[cH:21]1.[F:22][c:23]1[cH:24][n:25][c:26]([Cl:27])[n:28][cH:29]1>>[F:1][c:2]1[cH:3][cH:4][c:5]2[n:6]([CH2:7][CH:8]3[CH2:9][CH2:10][CH:11]4[CH2:12][N:13]([c:26]5[n:25][cH:24][c:23]([F:22])[cH:29][n:28]5)[CH2:14][CH2:15][N:16]4[CH2:17]3)[cH:18][cH:19][c:20]2[cH:21]1,patent,,
[CH3:1][O:2][C:3](=[O:4])[O:5][CH3:6].[O:7]=[C:8]1[CH2:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1>>[CH3:1][O:2][C:3](=[O:4])[CH:17]1[C:8](=[O:7])[CH2:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]21,patent,,
[CH3:16][N:17]1[CH2:18][CH2:19][NH:20][CH2:21][CH2:22]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:12]([Cl:13])(=[O:14])=[O:15])[cH:7][c:8]1[C:9]([OH:10])=[O:11]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:12](=[O:14])(=[O:15])[N:20]2[CH2:19][CH2:18][N:17]([CH3:16])[CH2:22][CH2:21]2)[cH:7][c:8]1[C:9]([OH:10])=[O:11],patent,,
[Br:20][C:21]1=[CH:22][C:23](=[O:24])[CH:25]2[CH2:26][CH2:27][CH:28]1[CH2:29]2.[CH3:1][O:2][CH2:3][CH2:4][O:5][CH2:6][c:7]1[n:8][c:9]([C:16]([F:17])([F:18])[F:19])[cH:10][cH:11][c:12]1[C:13]([OH:14])=[O:15]>>[CH3:1][O:2][CH2:3][CH2:4][O:5][CH2:6][c:7]1[n:8][c:9]([C:16]([F:17])([F:18])[F:19])[cH:10][cH:11][c:12]1[C:13]([O:14][C:21]1=[CH:22][C:23](=[O:24])[CH:25]2[CH2:26][CH2:27][CH:28]1[CH2:29]2)=[O:15],patent,,
[CH2:20]1[O:21][C:22]2([CH2:23][CH2:24][NH:25][CH2:26][CH2:27]2)[c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]21.[F:1][c:2]1[cH:3][cH:4][c:5]([CH:8]([CH2:9][CH2:10][CH2:11][Cl:12])[c:13]2[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]2)[cH:6][cH:7]1>>[F:1][c:2]1[cH:3][cH:4][c:5]([CH:8]([CH2:9][CH2:10][CH2:11][N:25]2[CH2:24][CH2:23][C:22]3([O:21][CH2:20][c:33]4[c:28]3[cH:29][cH:30][cH:31][cH:32]4)[CH2:27][CH2:26]2)[c:13]2[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]2)[cH:6][cH:7]1,patent,,
[O:1]=[C:2]1[NH:3][C:4](=[O:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]21.[OH:12][CH:13]([CH2:14][Cl:15])[CH2:16][N:17]1[CH2:18][CH2:19][CH:20]([CH2:21][c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[CH2:28][CH2:29]1>>[O:1]=[C:2]1[N:3]([CH2:14][CH:13]([OH:12])[CH2:16][N:17]2[CH2:18][CH2:19][CH:20]([CH2:21][c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[CH2:28][CH2:29]2)[C:4](=[O:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]21,patent,,
[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[c:16]2[c:17]([F:18])[c:19]([F:20])[c:21]([F:22])[cH:23][c:24]2[c:25]1=[O:26].[CH3:27][CH2:28][O:29][C:30](=[O:31])[CH2:32][C:33]#[N:34]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[c:16]2[c:17]([F:18])[c:19]([CH:32]([C:30]([O:29][CH2:28][CH3:27])=[O:31])[C:33]#[N:34])[c:21]([F:22])[cH:23][c:24]2[c:25]1=[O:26],patent,,
[CH3:1][CH2:2][NH:3][CH2:4][c:5]1[cH:6][c:7]([C:12]([F:13])([F:14])[F:15])[cH:8][cH:9][c:10]1[Br:11].[Cl:16][c:17]1[cH:18][cH:19][c:20]([CH2:21][N:22]=[C:23]=[O:24])[cH:25][cH:26]1>>[CH3:1][CH2:2][N:3]([CH2:4][c:5]1[cH:6][c:7]([C:12]([F:13])([F:14])[F:15])[cH:8][cH:9][c:10]1[Br:11])[C:23]([NH:22][CH2:21][c:20]1[cH:19][cH:18][c:17]([Cl:16])[cH:26][cH:25]1)=[O:24],patent,,
[Cl:9][c:10]1[cH:11][cH:12][c:13]([Cl:14])[n:15][cH:16]1.[O:1]=[CH:2][c:3]1[cH:4][cH:5][n:6][cH:7][cH:8]1>>[OH:1][CH:2]([c:3]1[cH:4][cH:5][n:6][cH:7][cH:8]1)[c:16]1[c:10]([Cl:9])[cH:11][cH:12][c:13]([Cl:14])[n:15]1,patent,,
[F:32][C:33]([F:34])([F:35])[c:36]1[cH:37][cH:38][cH:39][c:40]([CH2:41][Cl:42])[cH:43]1.[O:1]=[C:2]1[NH:3][CH2:4][c:5]2[cH:6][cH:7][c:8]([N:11]3[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH:17]([c:18]4[cH:19][cH:20][cH:21][cH:22][cH:23]4)[c:24]4[cH:25][cH:26][cH:27][cH:28][cH:29]4)[CH2:30][CH2:31]3)[cH:9][c:10]21>>[O:1]=[C:2]1[N:3]([CH2:41][c:40]2[cH:39][cH:38][cH:37][c:36]([C:33]([F:32])([F:34])[F:35])[cH:43]2)[CH2:4][c:5]2[cH:6][cH:7][c:8]([N:11]3[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH:17]([c:18]4[cH:19][cH:20][cH:21][cH:22][cH:23]4)[c:24]4[cH:25][cH:26][cH:27][cH:28][cH:29]4)[CH2:30][CH2:31]3)[cH:9][c:10]21,patent,,
[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[N:6]1[CH2:7][C:8]([c:21]2[cH:22][c:23]([Cl:24])[cH:25][cH:26][c:27]2[F:28])=[CH:9][C:10]1([CH2:11][CH2:12][CH2:13][NH2:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.[CH3:29][O:30][C:31]([Cl:32])=[O:33]>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[N:6]1[CH2:7][C:8]([c:21]2[cH:22][c:23]([Cl:24])[cH:25][cH:26][c:27]2[F:28])=[CH:9][C:10]1([CH2:11][CH2:12][CH2:13][NH:14][C:31]([O:30][CH3:29])=[O:33])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,patent,,
[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6](-[c:7]2[cH:8][c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[c:15]([O:16][CH3:17])[cH:18]2)[c:19]2[cH:20][c:21]([O:22][CH3:23])[c:24]([OH:25])[cH:26][c:27]2[c:28](=[O:29])[n:30]1[N:31]1[CH2:32][CH2:33][O:34][CH2:35][CH2:36]1.[Cl:37][CH2:38][c:39]1[cH:40][cH:41][cH:42][cH:43][n:44]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6](-[c:7]2[cH:8][c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[c:15]([O:16][CH3:17])[cH:18]2)[c:19]2[cH:20][c:21]([O:22][CH3:23])[c:24]([O:25][CH2:38][c:39]3[cH:40][cH:41][cH:42][cH:43][n:44]3)[cH:26][c:27]2[c:28](=[O:29])[n:30]1[N:31]1[CH2:32][CH2:33][O:34][CH2:35][CH2:36]1,patent,,
[CH3:14][O:15][C:16](=[O:17])[CH:18]=[CH:19][c:20]1[cH:21][cH:22][c:23]([CH:24]=[O:25])[cH:26][cH:27]1.[CH3:1][c:2]1[nH:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]1[CH2:11][CH2:12][NH2:13]>>[CH3:1][c:2]1[nH:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]1[CH2:11][CH2:12][NH:13][CH2:24][c:23]1[cH:22][cH:21][c:20]([CH:19]=[CH:18][C:16]([O:15][CH3:14])=[O:17])[cH:27][cH:26]1,patent,,
[CH3:16][N+:17]([CH3:18])([CH3:19])[CH2:20][CH:21]([CH2:22][C:23](=[O:24])[O-:25])[NH:26][C:27](=[O:28])[c:29]1[cH:30][cH:31][c:32]([Br:33])[o:34]1.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][c:8]1[cH:9][cH:10][cH:11][c:12]([C:14]#[CH:15])[cH:13]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][c:8]1[cH:9][cH:10][cH:11][c:12]([C:14]#[C:15][c:32]2[cH:31][cH:30][c:29]([C:27]([NH:26][CH:21]([CH2:20][N+:17]([CH3:16])([CH3:18])[CH3:19])[CH2:22][C:23](=[O:24])[O-:25])=[O:28])[o:34]2)[cH:13]1,patent,,
[CH3:22][N:23]([CH3:24])[CH2:25][CH2:26][Cl:27].[OH:1][CH2:2][c:3]1[s:4][cH:5][c:6]2[c:7]1-[c:8]1[cH:9][c:10]([Cl:11])[cH:12][cH:13][c:14]1[O:15][c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]1-2>>[O:1]([CH2:2][c:3]1[s:4][cH:5][c:6]2[c:7]1-[c:8]1[cH:9][c:10]([Cl:11])[cH:12][cH:13][c:14]1[O:15][c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]1-2)[CH2:26][CH2:25][N:23]([CH3:22])[CH3:24],patent,,
[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][Cl:7].[CH3:8][CH2:9][O:10][C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16](-[c:27]2[c:28]([O:29][CH3:30])[cH:31][cH:32][cH:33][c:34]2[O:35][CH3:36])[c:17](-[c:19]2[cH:20][cH:21][c:22]([Cl:23])[c:24]([OH:25])[cH:26]2)[n:18]1>>[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][O:25][c:24]1[c:22]([Cl:23])[cH:21][cH:20][c:19](-[c:17]2[c:16](-[c:27]3[c:28]([O:29][CH3:30])[cH:31][cH:32][cH:33][c:34]3[O:35][CH3:36])[cH:15][cH:14][c:13]([C:11]([O:10][CH2:9][CH3:8])=[O:12])[n:18]2)[cH:26]1,patent,,
[OH:1][c:2]1[cH:3][cH:4][c:5]2[c:11]([c:12]1[CH2:13][Cl:14])[CH2:10][CH2:9][CH2:8][C:6]2=[O:7].[SH:15][CH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22]([Cl:23])[cH:24]1>>[OH:1][c:2]1[cH:3][cH:4][c:5]2[c:11]([c:12]1[CH2:13][S:15][CH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22]([Cl:23])[cH:24]1)[CH2:10][CH2:9][CH2:8][C:6]2=[O:7],patent,,
[CH3:1][O:2][CH:3]([O:4][CH3:5])[CH:6]=[O:7].[CH3:8][CH2:9][CH2:10][CH2:11][NH2:12]>>[CH3:1][O:2][CH:3]([O:4][CH3:5])[CH2:6][NH:12][CH2:11][CH2:10][CH2:9][CH3:8],patent,,
[CH3:1][N:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([F:8])[c:9]([N+:11]([O-:12])=[O:13])[cH:10]1>>[CH3:1][N:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([F:8])[c:9]([NH2:11])[cH:10]1,patent,,
[CH3:13][CH2:14][O:15][c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]1[C:22]([Cl:23])=[O:24].[NH2:1][C:2](=[O:3])[c:4]1[n:5][cH:6][cH:7][c:8]([C:9]#[N:10])[c:11]1[NH2:12]>>[NH2:1][C:2](=[O:3])[c:4]1[n:5][cH:6][cH:7][c:8]([C:9]#[N:10])[c:11]1[NH:12][C:22]([c:21]1[c:16]([O:15][CH2:14][CH3:13])[cH:17][cH:18][cH:19][cH:20]1)=[O:24],patent,,
